score,??,??,??,??,??,PF,????,????,????,????,????,????,????,??,???,??R
-9.1181,??????_w35_ATR2.2_RSI56/44_10x_10%_3.5R_???,27,29.63,15.73,14.74,1.27,91.28,-30.16,4,9,6.71,14.74,-0.08,10,0.1,3.5
-9.2415,??????_w40_ATR2.4_RSI52/48_10x_7%_3.2R_???,26,30.77,11.58,11.38,1.29,64.34,-22.16,4,9,3.64,11.38,1.57,10,0.07,3.2
-9.2415,??????_w40_ATR2.4_RSI54/46_10x_7%_3.2R_???,26,30.77,11.58,11.38,1.29,64.34,-22.16,4,9,3.64,11.38,1.57,10,0.07,3.2
-9.2415,??????_w40_ATR2.4_RSI56/44_10x_7%_3.2R_???,26,30.77,11.58,11.38,1.29,64.34,-22.16,4,9,3.64,11.38,1.57,10,0.07,3.2
-9.4811,??????_w40_ATR2.4_RSI52/48_8x_7%_3.5R_???,25,28.0,8.86,9.16,1.29,56.66,-17.11,6,8,5.58,9.18,-2.17,8,0.07,3.5
-9.4811,??????_w40_ATR2.4_RSI54/46_8x_7%_3.5R_???,25,28.0,8.86,9.16,1.29,56.66,-17.11,6,8,5.58,9.18,-2.17,8,0.07,3.5
-9.4811,??????_w40_ATR2.4_RSI56/44_8x_7%_3.5R_???,25,28.0,8.86,9.16,1.29,56.66,-17.11,6,8,5.58,9.18,-2.17,8,0.07,3.5
-9.8685,??????_w45_ATR2.2_RSI52/48_10x_10%_3.5R_???,27,29.63,14.3,14.74,1.25,88.37,-29.68,4,9,6.71,14.74,-1.31,10,0.1,3.5
-9.8685,??????_w45_ATR2.2_RSI54/46_10x_10%_3.5R_???,27,29.63,14.3,14.74,1.25,88.37,-29.68,4,9,6.71,14.74,-1.31,10,0.1,3.5
-9.8685,??????_w45_ATR2.2_RSI56/44_10x_10%_3.5R_???,27,29.63,14.3,14.74,1.25,88.37,-29.68,4,9,6.71,14.74,-1.31,10,0.1,3.5
-9.9478,??????_w40_ATR2.4_RSI52/48_8x_8%_3.2R_???,26,30.77,10.72,10.44,1.29,58.84,-20.2,4,9,3.4,10.44,1.51,8,0.08,3.2
-9.9478,??????_w40_ATR2.4_RSI54/46_8x_8%_3.2R_???,26,30.77,10.72,10.44,1.29,58.84,-20.2,4,9,3.4,10.44,1.51,8,0.08,3.2
-9.9478,??????_w40_ATR2.4_RSI56/44_8x_8%_3.2R_???,26,30.77,10.72,10.44,1.29,58.84,-20.2,4,9,3.4,10.44,1.51,8,0.08,3.2
-10.3985,??????_w40_ATR2.4_RSI52/48_8x_11%_3.2R_???,26,30.77,14.0,14.14,1.28,80.76,-28.11,4,9,4.3,14.14,1.67,8,0.11,3.2
-10.3985,??????_w40_ATR2.4_RSI54/46_8x_11%_3.2R_???,26,30.77,14.0,14.14,1.28,80.76,-28.11,4,9,4.3,14.14,1.67,8,0.11,3.2
-10.3985,??????_w40_ATR2.4_RSI56/44_8x_11%_3.2R_???,26,30.77,14.0,14.14,1.28,80.76,-28.11,4,9,4.3,14.14,1.67,8,0.11,3.2
