策略,退出,杠杆,保证金,交易数,胜率,全年收益,最终权益,最大回撤,后1/3交易数,后1/3收益,盈亏因子,平均盈利,平均亏损,最大连亏,止盈,信号退出,止损,时间退出,强平,平均持仓小时
NASOS_EWO_15m,信号退出_2%止损,3x,10%,166,66.87%,-9.81%,901.92,10.65%,65,-4.18%,0.70,2.05,-5.93,4,0,111,54,0,0,7.31
NASOS_EWO_15m,信号退出_2%止损,3x,20%,166,66.87%,-18.93%,810.70,20.42%,65,-8.34%,0.69,3.88,-11.27,4,0,111,54,0,0,7.31
NASOS_EWO_15m,信号退出_2%止损,5x,10%,166,66.87%,-15.97%,840.35,17.26%,65,-6.96%,0.70,3.30,-9.55,4,0,111,54,0,0,7.31
NASOS_EWO_15m,信号退出_2%止损,5x,20%,166,66.87%,-30.04%,699.58,32.13%,65,-13.83%,0.69,5.99,-17.55,4,0,111,54,0,0,7.31
NASOS_EWO_15m,自定义锁盈_4%止损,3x,10%,131,77.86%,-12.21%,877.92,12.67%,53,-4.62%,0.63,2.03,-11.34,3,0,102,28,0,0,15.80
NASOS_EWO_15m,自定义锁盈_4%止损,3x,20%,131,77.86%,-23.36%,766.44,24.06%,53,-9.27%,0.62,3.71,-21.11,3,0,102,28,0,0,15.80
NASOS_EWO_15m,自定义锁盈_4%止损,5x,10%,131,77.86%,-19.76%,802.44,20.40%,53,-7.72%,0.62,3.19,-18.02,3,0,102,28,0,0,15.80
NASOS_EWO_15m,自定义锁盈_4%止损,5x,20%,131,77.86%,-36.61%,633.86,37.41%,53,-15.48%,0.60,5.49,-31.93,3,0,102,28,0,0,15.80
NASOS_EWO_15m,信号退出_8%止损,3x,10%,84,85.71%,-11.19%,888.05,13.99%,38,-3.57%,0.60,2.29,-23.06,2,0,72,12,0,0,54.77
NASOS_EWO_15m,信号退出_8%止损,3x,20%,84,85.71%,-21.79%,782.09,26.52%,38,-7.36%,0.58,4.25,-43.64,2,0,72,12,0,0,54.77
NASOS_EWO_15m,信号退出_8%止损,5x,10%,84,85.71%,-18.33%,816.70,22.50%,38,-6.08%,0.59,3.63,-37.05,2,0,72,12,0,0,54.77
NASOS_EWO_15m,信号退出_8%止损,5x,20%,84,85.71%,-34.87%,651.28,41.06%,38,-12.70%,0.57,6.40,-67.43,2,0,72,12,0,0,54.77
NASOS_EWO_15m,固定2%止盈_4%止损,3x,10%,105,62.86%,-10.08%,899.20,15.68%,44,-3.51%,0.77,5.23,-11.43,4,66,0,38,0,0,40.19
NASOS_EWO_15m,固定2%止盈_4%止损,3x,20%,105,62.86%,-19.79%,802.06,29.43%,44,-7.21%,0.76,9.64,-21.38,4,66,0,38,0,0,40.19
NASOS_EWO_15m,固定2%止盈_4%止损,5x,10%,105,62.86%,-16.60%,833.97,25.06%,44,-5.96%,0.77,8.25,-18.22,4,66,0,38,0,0,40.19
NASOS_EWO_15m,固定2%止盈_4%止损,5x,20%,105,62.86%,-32.01%,679.92,44.99%,44,-12.38%,0.75,14.38,-32.55,4,66,0,38,0,0,40.19
NASOS_EWO_15m,自定义锁盈_8%止损,3x,10%,84,85.71%,-11.19%,888.05,13.99%,38,-3.57%,0.60,2.29,-23.06,2,0,72,12,0,0,54.77
