策略,杠杆,保证金比例,止盈R,最长持仓小时,交易,胜率,收益,最大回撤,盈亏比,平均盈利U,平均亏损U,最大连亏,强平,测试段交易,测试段收益,测试段回撤,测试段平均盈利U
趋势回踩_10x_10%_0.8R_8H,10,0.1000,0.8,8.0,221,41.18,-38.55,39.64,0.61,6.53,-7.54,12,0,80,-20.54,21.88,8.04
趋势回踩_20x_5%_0.8R_8H,20,0.0500,0.8,8.0,221,41.18,-38.55,39.64,0.61,6.53,-7.54,12,0,80,-20.54,21.88,8.04
动量突破_15x_12%_2.5R_4H,15,0.1200,2.5,4.0,159,40.88,-27.53,34.48,0.75,12.55,-11.61,11,0,55,-27.11,31.69,13.10
趋势回踩_15x_15%_2R_4H,15,0.1500,2.0,4.0,278,39.93,-53.71,56.52,0.62,7.82,-8.42,14,0,104,1.06,19.56,16.65
动量突破_10x_10%_2R_12H,10,0.1000,2.0,12.0,137,35.77,-34.72,37.47,0.60,10.50,-9.79,10,0,46,-21.52,28.16,12.11
动量突破_20x_5%_2R_12H,20,0.0500,2.0,12.0,137,35.77,-34.72,37.47,0.60,10.50,-9.79,10,0,46,-21.52,28.16,12.11
动量突破_20x_5%_1.2R_4H,20,0.0500,1.2,4.0,165,40.61,-15.73,21.33,0.77,7.68,-6.86,11,1,55,-18.40,21.33,7.57
趋势突破_15x_25%_0.8R_4H,15,0.2500,0.8,4.0,99,39.39,-27.78,35.30,0.82,33.49,-26.40,10,0,32,-28.13,35.30,37.33
动量突破_15x_12%_3R_4H,15,0.1200,3.0,4.0,158,41.14,-27.80,34.73,0.74,12.34,-11.61,11,0,55,-27.11,31.69,13.10
趋势突破_10x_12%_1.5R_24H,10,0.1200,1.5,24.0,69,43.48,-35.89,38.34,0.58,16.56,-21.94,7,0,24,-19.92,30.44,24.65
趋势回踩_15x_10%_1R_24H,15,0.1000,1.0,24.0,139,41.01,-43.25,44.89,0.69,16.89,-17.01,10,0,53,-13.64,25.58,25.07
趋势回踩_10x_15%_1R_24H,10,0.1500,1.0,24.0,139,41.01,-43.25,44.89,0.69,16.89,-17.01,10,0,53,-13.64,25.58,25.07
摸底摸顶_50x_5%_2.5R_4H,50,0.0500,2.5,4.0,29,31.03,-11.72,14.77,0.65,23.95,-16.64,6,2,13,-4.25,9.05,15.42
摸底摸顶_30x_15%_1.2R_24H,30,0.1500,1.2,24.0,27,37.04,-30.86,35.81,0.62,51.13,-48.23,8,0,13,-28.25,35.81,53.76
趋势回踩_10x_20%_3R_不限时,10,0.2000,3.0,,52,25.00,-39.80,52.43,0.72,80.66,-37.09,8,0,19,-6.15,45.67,123.22
趋势突破_15x_5%_1.2R_24H,15,0.0500,1.2,24.0,74,40.54,-23.67,25.51,0.61,12.25,-13.73,7,1,25,-12.45,18.86,15.28
趋势回踩_20x_8%_1R_12H,20,0.0800,1.0,12.0,183,45.36,-38.49,41.02,0.74,13.47,-15.03,9,0,68,-20.07,25.26,15.80
摸底摸顶_15x_25%_0.8R_不限时,15,0.2500,0.8,,27,40.74,-34.52,34.52,0.50,30.86,-42.79,4,0,13,-26.45,30.87,35.10
趋势回踩_10x_25%_2.5R_不限时,10,0.2500,2.5,,60,30.00,-36.89,57.84,0.83,99.08,-51.25,7,0,20,-1.18,45.43,143.04
