??,??,????,????,??,??,???,???,??,?????%,????,??
????,??,2025-11-04 20:00,2025-11-05 00:15,104547.25,102665.40,102665.40,106661.20,????,-100.00,4.25,???60????
????,??,2025-11-05 08:00,2025-11-05 09:15,101446.54,99620.51,99620.51,103497.79,????,-100.00,1.25,???60????
????,??,2025-11-05 12:00,2025-11-06 02:30,102096.01,104149.97,100258.28,104160.39,??,95.54,14.50,???60????
????,??,2025-11-08 00:00,2025-11-08 02:15,100760.18,102787.27,98946.49,102797.55,??,95.54,2.25,???60????
????,??,2025-11-15 00:00,2025-11-15 02:45,96761.58,95019.87,95019.87,98718.09,????,-100.00,2.75,???60????
????,??,2025-11-17 08:00,2025-11-18 02:15,94233.82,92537.61,92537.61,96139.23,????,-100.00,18.25,???60????
????,??,2025-12-16 08:00,2025-12-17 22:45,86399.64,88137.83,84844.45,88146.64,??,95.54,38.75,???60????
????,??,2026-01-06 08:00,2026-01-07 01:30,93808.52,91920.90,95497.07,91911.71,??,95.66,17.50,???60????
????,??,2026-01-07 00:00,2026-01-07 01:45,93595.64,91712.31,95280.36,91703.14,??,95.66,1.75,???60????
????,??,2026-01-15 08:00,2026-01-16 23:15,96904.81,94954.89,98649.10,94945.39,??,95.66,39.25,???60????
????,??,2026-02-02 16:00,2026-02-02 20:15,76611.56,78152.83,75232.55,78160.65,??,95.54,4.25,???60????
????,??,2026-02-24 20:00,2026-02-25 01:00,63200.52,64471.99,62062.91,64478.43,??,95.54,5.00,???60????
????,??,2026-03-16 16:00,2026-03-17 05:30,73421.46,74743.04,74743.04,71936.88,????,-100.00,13.50,???60????
????,??,2026-03-17 00:00,2026-03-17 05:30,73233.48,74551.68,74551.68,71752.70,????,-100.00,5.50,???60????
????,??,2026-03-17 12:00,2026-03-18 19:30,74431.36,72933.65,75771.12,72926.35,??,95.66,31.50,???60????
????,??,2026-04-09 00:00,2026-04-10 05:00,71258.17,72540.82,72540.82,69817.33,????,-100.00,29.00,???60????
????,??,2026-04-10 08:00,2026-04-10 22:15,71751.92,73043.46,73043.46,70301.10,????,-100.00,14.25,???60????
????,??,2026-04-14 20:00,2026-04-14 22:15,74342.57,75680.73,75680.73,72839.36,????,-100.00,2.25,???60????
????,??,2026-05-05 16:00,2026-05-06 18:30,80813.72,82268.36,82268.36,79179.66,????,-100.00,26.50,???60????
????,??,2026-05-18 16:00,2026-05-23 03:30,77044.60,75657.80,75657.80,78602.45,????,-100.00,107.50,???60????
????,??,2026-05-23 12:00,2026-05-23 15:45,75612.66,74251.63,74251.63,77141.55,????,-100.00,3.75,???60????
????,??,2026-05-23 20:00,2026-05-24 04:30,74761.38,76265.42,73415.67,76273.05,??,95.54,8.50,???60????
????,??,2026-05-28 16:00,2026-05-29 09:30,73464.75,73495.35,72142.38,74950.20,????,-100.00,17.50,???60????
